"source","Genus","Length","Site","Density.Final","Individual.Mass.Final","No.Lost","Biomass","Mass.at.Loss","Biomass.Lost","Times.No.Size.Classes","Biomass.Sum","Production.Uncorrected","CohortP.B","CPI","Annual.Production","AnnualP.B","Daily.Growth"
"Alloperla","Alloperla",1,"EAS",4.30570505920344,2.48e-06,1.43523501973448,1.06781485468245e-05,6.7018042907749e-06,9.61866421352693e-06,6.73306494946885e-05,0.00206202406011021,0.00443689264918937,2.15171720593417,1.71428571428571,0.0025881873786938,1.25516837012827,0.164554002338097
"Alloperla","Alloperla",2,"EAS",2.87047003946896,1.09236085815498e-05,-2.51166128453534,3.13558911562247e-05,3.63654699081859e-05,-9.13377428623256e-05,-0.000639364200036279,0.00206202406011021,0.00443689264918937,2.15171720593417,1.71428571428571,0.0025881873786938,1.25516837012827,0.164554002338097
"Alloperla","Alloperla",3,"EAS",5.38213132400431,6.1807331234822e-05,1.07642626480086,0.000332655173492045,8.50330517054238e-05,9.15318102318879e-05,0.000640722671623215,0.00206202406011021,0.00443689264918937,2.15171720593417,1.71428571428571,0.0025881873786938,1.25516837012827,0.164554002338097
"Alloperla","Alloperla",4,"EAS",4.30570505920345,0.000108258772176026,1.61463939720129,0.000466130343061467,0.000116258619394011,0.0001877157471378,0.0013140102299646,0.00206202406011021,0.00443689264918937,2.15171720593417,1.71428571428571,0.0025881873786938,1.25516837012827,0.164554002338097
"Alloperla","Alloperla",5,"EAS",2.69106566200215,0.000124258466611996,0.538213132400431,0.000334387692712585,0.000143801704339796,7.7395965737242e-05,0.000541771760160694,0.00206202406011021,0.00443689264918937,2.15171720593417,1.71428571428571,0.0025881873786938,1.25516837012827,0.164554002338097
"Alloperla","Alloperla",6,"EAS",2.15285252960172,0.000163344942067595,0,0.000351657571727868,0.000205963204387511,0,0,0.00206202406011021,0.00443689264918937,2.15171720593417,1.71428571428571,0.0025881873786938,1.25516837012827,0.164554002338097
"Alloperla","Alloperla",7,"EAS",2.15285252960172,0.000248581466707427,2.15285252960172,0.000535159239413191,0.000124290733353714,0.000267579619706596,0.00187305733794617,0.00206202406011021,0.00443689264918937,2.15171720593417,1.71428571428571,0.0025881873786938,1.25516837012827,0.164554002338097
"Antocha","Antocha",3,"EAS",2.15285252960172,1.2018506060277e-05,-2.15285252960172,2.58740711739009e-05,3.0285875534077e-05,-6.52010237547406e-05,-0.000195603071264222,0.000325095634358209,0.000427288796042812,1.31434799758646,4,0.000106822199010703,0.328586999396615,0.104033895160142
"Antocha","Antocha",4,"EAS",4.30570505920345,4.8553245007877e-05,2.15285252960172,0.000209055952671161,4.5217585545617e-05,9.73467934243638e-05,0.000292040380273091,0.000325095634358209,0.000427288796042812,1.31434799758646,4,0.000106822199010703,0.328586999396615,0.104033895160142
"Antocha","Antocha",5,"EAS",2.15285252960172,4.18819260833569e-05,2.15285252960172,9.01656105131472e-05,2.09409630416784e-05,4.50828052565736e-05,0.000135248415769721,0.000325095634358209,0.000427288796042812,1.31434799758646,4,0.000106822199010703,0.328586999396615,0.104033895160142
"Cernotina","Cernotina",2,"EAS",2.15285252960172,8.20720466020563e-06,-1.07642626480086,1.76689013136827e-05,2.1280451553214e-05,-2.29068369787019e-05,-0.000160347858850913,0.00265709371818485,0.00554880827653941,2.08829979859724,1.71428571428571,0.00323680482798132,1.21817488251506,0.102887024087588
"Cernotina","Cernotina",3,"EAS",3.22927879440258,3.43536984462224e-05,-2.51166128453534,0.000110937669901687,5.6706314208147e-05,-0.000142427053985299,-0.000996989377897094,0.00265709371818485,0.00554880827653941,2.08829979859724,1.71428571428571,0.00323680482798132,1.21817488251506,0.102887024087588
"Cernotina","Cernotina",4,"EAS",5.74094007893793,7.90589299700715e-05,2.51166128453534,0.00045387257966313,0.000102110492387563,0.000256466970474682,0.00179526879332277,0.00265709371818485,0.00554880827653941,2.08829979859724,1.71428571428571,0.00323680482798132,1.21817488251506,0.102887024087588
"Cernotina","Cernotina",5,"EAS",3.22927879440258,0.000125162054805054,1.07642626480086,0.000404183169445814,0.000128765964957254,0.000138607066692415,0.000970249466846906,0.00265709371818485,0.00554880827653941,2.08829979859724,1.71428571428571,0.00323680482798132,1.21817488251506,0.102887024087588
"Cernotina","Cernotina",6,"EAS",2.15285252960172,0.000132369875109453,0,0.000284972820472451,0.000203266518924003,0,0,0.00265709371818485,0.00554880827653941,2.08829979859724,1.71428571428571,0.00323680482798132,1.21817488251506,0.102887024087588
"Cernotina","Cernotina",8,"EAS",2.15285252960172,0.000274163162738553,0,0.000590232858425302,0.000321772754598382,0,0,0.00265709371818485,0.00554880827653941,2.08829979859724,1.71428571428571,0.00323680482798132,1.21817488251506,0.102887024087588
"Cernotina","Cernotina",9,"EAS",2.15285252960172,0.000369382346458212,2.15285252960172,0.000795225718962781,0.000184691173229106,0.000397612859481391,0.00278329001636973,0.00265709371818485,0.00554880827653941,2.08829979859724,1.71428571428571,0.00323680482798132,1.21817488251506,0.102887024087588
"Chironomini","Chironomini",1,"EAS",2.15285252960172,1.4e-07,0,3.01399354144241e-07,6.11674744583802e-07,0,0,0.000946979045443927,0.00279686202842506,2.95345714552104,1.71428571428571,0.00163150284991462,1.72285000155394,0.210325847311846
"Chironomini","Chironomini",2,"EAS",2.15285252960172,1.0833494891676e-06,0,2.33229168819721e-06,2.33459091409791e-06,0,0,0.000946979045443927,0.00279686202842506,2.95345714552104,1.71428571428571,0.00163150284991462,1.72285000155394,0.210325847311846
"Chironomini","Chironomini",3,"EAS",2.15285252960172,3.58583233902821e-06,0,7.71976822180455e-06,5.98450943979878e-06,0,0,0.000946979045443927,0.00279686202842506,2.95345714552104,1.71428571428571,0.00163150284991462,1.72285000155394,0.210325847311846
"Chironomini","Chironomini",4,"EAS",2.15285252960172,8.38318654056934e-06,-2.15285252960172,1.80477643499878e-05,3.19395192183339e-05,-6.87610747434529e-05,-0.00048132752320417,0.000946979045443927,0.00279686202842506,2.95345714552104,1.71428571428571,0.00163150284991462,1.72285000155394,0.210325847311846
"Chironomini","Chironomini",6,"EAS",4.30570505920345,5.54958518960984e-05,2.15285252960172,0.000238948770273836,4.9616851903509e-05,0.000106817765131343,0.000747724355919404,0.000946979045443927,0.00279686202842506,2.95345714552104,1.71428571428571,0.00163150284991462,1.72285000155394,0.210325847311846
"Chironomini","Chironomini",7,"EAS",2.15285252960172,4.37378519109197e-05,0,9.41611451257689e-05,0.000157843847223871,0,0,0.000946979045443927,0.00279686202842506,2.95345714552104,1.71428571428571,0.00163150284991462,1.72285000155394,0.210325847311846
"Chironomini","Chironomini",13,"EAS",2.15285252960172,0.000271949842536822,2.15285252960172,0.000585467906430188,0.000135974921268411,0.000292733953215094,0.00204913767250566,0.000946979045443927,0.00279686202842506,2.95345714552104,1.71428571428571,0.00163150284991462,1.72285000155394,0.210325847311846
"Ectopria","Ectopria",1,"EAS",7.7502691065662,1.1808e-05,3.8751345532831,9.15151776103337e-05,2.83859102870777e-05,0.000109999221779849,0.000769994552458943,0.0111370359984114,0.0257390774761515,2.31112456490425,1.71428571428571,0.0150144618610884,1.34815599619414,0.157808463611462
"Ectopria","Ectopria",2,"EAS",3.8751345532831,4.49638205741554e-05,-1.14818801578758,0.000174240854754531,0.000118049094115211,-0.000135542555137665,-0.000948797885963658,0.0111370359984114,0.0257390774761515,2.31112456490425,1.71428571428571,0.0150144618610884,1.34815599619414,0.157808463611462
"Ectopria","Ectopria",3,"EAS",5.02332256907069,0.000191134367656266,1.7940437746681,0.000960129582772774,0.000238249063388942,0.000427429248993437,0.00299200474295406,0.0111370359984114,0.0257390774761515,2.31112456490425,1.71428571428571,0.0150144618610884,1.34815599619414,0.157808463611462
"Ectopria","Ectopria",4,"EAS",3.22927879440258,0.000285363759121618,-1.07642626480086,0.000921519136022448,0.000508408848282575,-0.000547264637548519,-0.00383085246283964,0.0111370359984114,0.0257390774761515,2.31112456490425,1.71428571428571,0.0150144618610884,1.34815599619414,0.157808463611462
"Ectopria","Ectopria",5,"EAS",4.30570505920344,0.000731453937443531,0.71761750986724,0.00314942491902489,0.000885600384617223,0.000635522342746482,0.00444865639922537,0.0111370359984114,0.0257390774761515,2.31112456490425,1.71428571428571,0.0150144618610884,1.34815599619414,0.157808463611462
"Ectopria","Ectopria",6,"EAS",3.5880875493362,0.00103974683179091,1.43523501973448,0.00373070266161075,0.00100980564246695,0.00144930842119404,0.0101451589483583,0.0111370359984114,0.0257390774761515,2.31112456490425,1.71428571428571,0.0150144618610884,1.34815599619414,0.157808463611462
"Ectopria","Ectopria",7,"EAS",2.15285252960172,0.000979864453142977,2.15285252960172,0.00210950366661567,0.000489932226571488,0.00105475183330783,0.00738326283315483,0.0111370359984114,0.0257390774761515,2.31112456490425,1.71428571428571,0.0150144618610884,1.34815599619414,0.157808463611462
"Gomphus","Gomphus",7,"EAS",2.15285252960172,0.00384210252054454,2.15285252960172,0.00827148013034347,0.00192105126027227,0.00413574006517173,0.00413574006517173,0.00827148013034347,0.00413574006517173,0.5,12,0.000344645005430978,0.0416666666666667,0
"Isoperla","Isoperla",1,"EAS",3.5880875493362,3.33333333333333e-06,0.143523501973448,1.19602918311207e-05,1.17651862295782e-05,1.68858072903886e-06,8.44290364519428e-06,0.0042081519954867,0.0106133842086164,2.52210096498401,2.4,0.00442224342025683,1.05087540207667,0.280472277670609
"Isoperla","Isoperla",2,"EAS",3.44456404736276,2.01970391258231e-05,-7.31969860064586,6.95699948359892e-05,0.000102815290801126,-0.000752576940201997,-0.00376288470100999,0.0042081519954867,0.0106133842086164,2.52210096498401,2.4,0.00442224342025683,1.05087540207667,0.280472277670609
"Isoperla","Isoperla",3,"EAS",10.7642626480086,0.000185433542476428,8.61141011840689,0.00199605535496694,0.000132552746770444,0.00114146606476162,0.00570733032380812,0.0042081519954867,0.0106133842086164,2.52210096498401,2.4,0.00442224342025683,1.05087540207667,0.280472277670609
"Isoperla","Isoperla",4,"EAS",2.15285252960172,7.96719510644589e-05,0,0.000171521961387425,0.000494824035682278,0,0,0.0042081519954867,0.0106133842086164,2.52210096498401,2.4,0.00442224342025683,1.05087540207667,0.280472277670609
"Isoperla","Isoperla",10,"EAS",2.15285252960172,0.000909976120300097,2.15285252960172,0.00195904439246523,0.000454988060150048,0.000979522196232613,0.00489761098116306,0.0042081519954867,0.0106133842086164,2.52210096498401,2.4,0.00442224342025683,1.05087540207667,0.280472277670609
"Paracapnia","Paracapnia",1,"EAS",7.7502691065662,2.56e-06,-57.7579578656005,1.98406889128095e-05,6.19099149010508e-05,-0.00357579025631781,-0.0286063220505425,0.0608633868584102,0.22092296347421,3.62981711793586,1.5,0.147281975649473,2.41987807862391,0.136797528784062
"Paracapnia","Paracapnia",2,"EAS",65.5082269721667,0.000121259829802102,-19.3141626941411,0.00794351645328238,0.000294255463267003,-0.00568329789117877,-0.0454663831294302,0.0608633868584102,0.22092296347421,3.62981711793586,1.5,0.147281975649473,2.41987807862391,0.136797528784062
"Paracapnia","Paracapnia",3,"EAS",84.8223896663079,0.000467251096731904,60.2798708288482,0.0396333545990033,0.000367301294878602,0.0221408746105508,0.177126996884406,0.0608633868584102,0.22092296347421,3.62981711793586,1.5,0.147281975649473,2.41987807862391,0.136797528784062
